Nstp	TIME	AvrPFI_D	VarPFI_D	Dfs(m*m/s)	Dflow(m/s)	AvrPFI_E	VarPfi_E	Kai(m*m/s)	Eflow(m./s)
1	2.37E-04	-1.03E+00	1.29E-05	0.00E+00	0.00E+00	-1.03E+00	1.29E-05	0.00E+00	0.00E+00
2	2.61E-04	-1.02E+00	1.03E-05	-1.50E-02	3.90E+01	-1.02E+00	1.03E-05	-1.50E-02	3.90E+01
3	2.85E-04	-1.02E+00	1.43E-05	4.20E-03	3.39E+01	-1.02E+00	1.43E-05	4.21E-03	3.39E+01
4	3.08E-04	-1.02E+00	1.97E-05	1.41E-02	3.32E+01	-1.02E+00	1.97E-05	1.41E-02	3.32E+01
5	3.32E-04	-1.02E+00	1.38E-05	6.51E-03	1.62E+01	-1.02E+00	1.38E-05	6.51E-03	1.61E+01
6	3.56E-04	-1.02E+00	2.06E-05	9.00E-03	7.65E+00	-1.02E+00	2.06E-05	9.00E-03	7.64E+00
7	3.79E-04	-1.02E+00	1.57E-05	5.90E-03	3.80E+00	-1.02E+00	1.57E-05	5.90E-03	3.80E+00
8	4.03E-04	-1.02E+00	2.01E-05	6.22E-03	3.73E+00	-1.02E+00	2.01E-05	6.22E-03	3.73E+00
9	4.27E-04	-1.02E+00	2.72E-05	8.64E-03	5.40E+00	-1.02E+00	2.71E-05	8.64E-03	5.39E+00
10	4.51E-04	-1.02E+00	2.33E-05	8.20E-03	3.45E+00	-1.02E+00	2.33E-05	8.20E-03	3.45E+00
11	4.74E-04	-1.02E+00	2.36E-05	7.66E-03	2.58E+00	-1.02E+00	2.36E-05	7.65E-03	2.58E+00
12	4.98E-04	-1.02E+00	2.13E-05	6.54E-03	1.53E+00	-1.02E+00	2.13E-05	6.54E-03	1.53E+00
13	5.22E-04	-1.02E+00	2.33E-05	6.03E-03	1.62E+00	-1.02E+00	2.33E-05	6.03E-03	1.62E+00
14	5.45E-04	-1.02E+00	3.32E-05	7.17E-03	1.83E+00	-1.02E+00	3.32E-05	7.17E-03	1.83E+00
15	5.69E-04	-1.02E+00	3.35E-05	7.77E-03	1.35E+00	-1.02E+00	3.35E-05	7.77E-03	1.35E+00
16	5.93E-04	-1.02E+00	2.76E-05	7.25E-03	1.11E+00	-1.02E+00	2.76E-05	7.25E-03	1.10E+00
17	6.17E-04	-1.02E+00	2.74E-05	6.73E-03	7.77E-01	-1.02E+00	2.73E-05	6.73E-03	7.76E-01
18	6.40E-04	-1.02E+00	2.65E-05	6.16E-03	9.34E-01	-1.02E+00	2.65E-05	6.16E-03	9.34E-01
19	6.64E-04	-1.02E+00	3.57E-05	6.49E-03	9.47E-01	-1.02E+00	3.57E-05	6.49E-03	9.47E-01
20	6.88E-04	-1.02E+00	4.16E-05	7.12E-03	7.69E-01	-1.02E+00	4.15E-05	7.12E-03	7.68E-01
21	7.12E-04	-1.02E+00	3.28E-05	6.83E-03	5.90E-01	-1.02E+00	3.28E-05	6.83E-03	5.89E-01
22	7.35E-04	-1.02E+00	3.45E-05	6.66E-03	4.67E-01	-1.02E+00	3.45E-05	6.65E-03	4.67E-01
23	7.59E-04	-1.02E+00	3.22E-05	6.30E-03	5.49E-01	-1.02E+00	3.22E-05	6.30E-03	5.49E-01
24	7.83E-04	-1.02E+00	3.82E-05	6.31E-03	5.65E-01	-1.02E+00	3.82E-05	6.31E-03	5.65E-01
25	8.06E-04	-1.02E+00	4.72E-05	6.74E-03	4.89E-01	-1.02E+00	4.72E-05	6.74E-03	4.89E-01
26	8.30E-04	-1.02E+00	3.93E-05	6.64E-03	3.62E-01	-1.02E+00	3.93E-05	6.63E-03	3.62E-01
27	8.54E-04	-1.02E+00	4.04E-05	6.54E-03	3.02E-01	-1.02E+00	4.04E-05	6.54E-03	3.02E-01
28	8.78E-04	-1.02E+00	3.90E-05	6.36E-03	3.28E-01	-1.02E+00	3.90E-05	6.36E-03	3.28E-01
29	9.01E-04	-1.02E+00	4.17E-05	6.28E-03	3.44E-01	-1.02E+00	4.18E-05	6.28E-03	3.44E-01
30	9.25E-04	-1.02E+00	5.07E-05	6.51E-03	3.10E-01	-1.02E+00	5.07E-05	6.51E-03	3.10E-01
31	9.49E-04	-1.02E+00	4.64E-05	6.51E-03	2.43E-01	-1.02E+00	4.64E-05	6.51E-03	2.43E-01
32	9.72E-04	-1.02E+00	4.65E-05	6.47E-03	2.07E-01	-1.02E+00	4.65E-05	6.47E-03	2.07E-01
33	9.96E-04	-1.02E+00	4.71E-05	6.43E-03	2.09E-01	-1.02E+00	4.71E-05	6.43E-03	2.09E-01
34	1.02E-03	-1.02E+00	4.67E-05	6.34E-03	2.11E-01	-1.02E+00	4.67E-05	6.34E-03	2.11E-01
35	1.04E-03	-1.02E+00	5.32E-05	6.42E-03	1.92E-01	-1.02E+00	5.32E-05	6.42E-03	1.92E-01
