Nstp     TIME       AvrPFI_D     VarPFI_D    Dfs(m*m/s)   Dflow(m/s)     AvrPFI_E     VarPfi_E    Kai(m*m/s)   Eflow(m./s)
   1  2.37171E-04 -1.02664E+00  1.28816E-05  0.00000E+00  0.00000E+00  -1.02664E+00  1.28791E-05  0.00000E+00  0.00000E+00
   2  2.60888E-04 -1.02487E+00  1.02736E-05 -1.49923E-02  3.90058E+01  -1.02487E+00  1.02708E-05 -1.49936E-02  3.90356E+01
   3  2.84605E-04 -1.02356E+00  1.43445E-05  4.20120E-03  3.38615E+01  -1.02356E+00  1.43456E-05  4.21160E-03  3.38563E+01
   4  3.08322E-04 -1.02204E+00  1.97055E-05  1.40830E-02  3.32210E+01  -1.02204E+00  1.97039E-05  1.40869E-02  3.32087E+01
   5  3.32039E-04 -1.02438E+00  1.38283E-05  6.50830E-03  1.61526E+01  -1.02438E+00  1.38269E-05  6.51018E-03  1.61464E+01
   6  3.55756E-04 -1.02480E+00  2.06386E-05  9.00174E-03  7.64799E+00  -1.02480E+00  2.06395E-05  9.00474E-03  7.64327E+00
   7  3.79473E-04 -1.02480E+00  1.57253E-05  5.90111E-03  3.80234E+00  -1.02479E+00  1.57194E-05  5.90003E-03  3.80477E+00
   8  4.03190E-04 -1.02379E+00  2.01196E-05  6.21846E-03  3.73250E+00  -1.02379E+00  2.01226E-05  6.21997E-03  3.73263E+00
   9  4.26907E-04 -1.02246E+00  2.71504E-05  8.63910E-03  5.39573E+00  -1.02246E+00  2.71462E-05  8.63897E-03  5.39335E+00
  10  4.50625E-04 -1.02454E+00  2.32862E-05  8.20380E-03  3.45169E+00  -1.02455E+00  2.32764E-05  8.20110E-03  3.44729E+00
  11  4.74342E-04 -1.02419E+00  2.35529E-05  7.65526E-03  2.58338E+00  -1.02419E+00  2.35516E-05  7.65351E-03  2.58034E+00
  12  4.98059E-04 -1.02473E+00  2.12587E-05  6.54059E-03  1.53124E+00  -1.02473E+00  2.12516E-05  6.53816E-03  1.53166E+00
  13  5.21776E-04 -1.02365E+00  2.32974E-05  6.03196E-03  1.62318E+00  -1.02366E+00  2.33029E-05  6.03157E-03  1.62312E+00
  14  5.45493E-04 -1.02335E+00  3.32255E-05  7.17066E-03  1.82789E+00  -1.02335E+00  3.32248E-05  7.17056E-03  1.82723E+00
  15  5.69210E-04 -1.02438E+00  3.34807E-05  7.77399E-03  1.34769E+00  -1.02438E+00  3.34667E-05  7.77217E-03  1.34521E+00
  16  5.92927E-04 -1.02415E+00  2.75711E-05  7.25292E-03  1.10606E+00  -1.02415E+00  2.75680E-05  7.25138E-03  1.10408E+00
  17  6.16644E-04 -1.02448E+00  2.73547E-05  6.73089E-03  7.76551E-01  -1.02448E+00  2.73441E-05  6.72871E-03  7.76351E-01
  18  6.40361E-04 -1.02344E+00  2.65384E-05  6.15905E-03  9.33764E-01  -1.02344E+00  2.65434E-05  6.15805E-03  9.33979E-01
  19  6.64078E-04 -1.02369E+00  3.57439E-05  6.49145E-03  9.46851E-01  -1.02369E+00  3.57473E-05  6.49115E-03  9.46911E-01
  20  6.87795E-04 -1.02424E+00  4.15589E-05  7.11985E-03  7.68682E-01  -1.02424E+00  4.15441E-05  7.11858E-03  7.67544E-01
  21  7.11512E-04 -1.02437E+00  3.27620E-05  6.83497E-03  5.89658E-01  -1.02437E+00  3.27527E-05  6.83341E-03  5.88689E-01
  22  7.35230E-04 -1.02430E+00  3.44651E-05  6.65530E-03  4.66795E-01  -1.02430E+00  3.44549E-05  6.65348E-03  4.66536E-01
  23  7.58947E-04 -1.02354E+00  3.21684E-05  6.30004E-03  5.48714E-01  -1.02354E+00  3.21712E-05  6.29885E-03  5.49021E-01
  24  7.82664E-04 -1.02373E+00  3.81962E-05  6.31289E-03  5.65124E-01  -1.02373E+00  3.82047E-05  6.31252E-03  5.65398E-01
  25  8.06381E-04 -1.02414E+00  4.72087E-05  6.74367E-03  4.89157E-01  -1.02415E+00  4.71955E-05  6.74280E-03  4.88771E-01
